policy,filter_type,threshold,gap_policy,event_id,event_crossing_time,detected,detected_in_zone,first_flag_time,lead_time_min
P1_preserve,F3_combined,rate>20;OTI>48,reset,2,2019-08-09 14:20:00,True,True,2019-08-09 14:00:00,20.0
P1_preserve,F3_combined,rate>20;OTI>48,reset,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F3_combined,rate>20;OTI>48,reset,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F3_combined,rate>20;OTI>48,reset,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P1_preserve,F3_combined,rate>20;OTI>48,reset,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F3_combined,rate>20;OTI>48,reset,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F3_combined,rate>20;OTI>48,reset,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P1_preserve,F3_combined,rate>20;OTI>48,reset,9,2019-08-22 13:48:00,True,True,2019-08-22 13:00:00,48.0
P1_preserve,F3_combined,rate>20;OTI>48,reset,10,2019-09-03 14:42:00,True,True,2019-09-03 14:15:00,27.0
P1_preserve,F3_combined,rate>20;OTI>50,reset,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P1_preserve,F3_combined,rate>20;OTI>50,reset,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P1_preserve,F3_combined,rate>20;OTI>50,reset,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F3_combined,rate>20;OTI>50,reset,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F3_combined,rate>20;OTI>50,reset,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P1_preserve,F3_combined,rate>20;OTI>50,reset,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F3_combined,rate>20;OTI>50,reset,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F3_combined,rate>20;OTI>50,reset,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P1_preserve,F3_combined,rate>20;OTI>50,reset,9,2019-08-22 13:48:00,True,True,2019-08-22 13:11:00,37.0
P1_preserve,F3_combined,rate>20;OTI>50,reset,10,2019-09-03 14:42:00,True,True,2019-09-03 14:15:00,27.0
P1_preserve,F3_combined,rate>20;OTI>52,reset,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P1_preserve,F3_combined,rate>20;OTI>52,reset,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P1_preserve,F3_combined,rate>20;OTI>52,reset,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F3_combined,rate>20;OTI>52,reset,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F3_combined,rate>20;OTI>52,reset,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P1_preserve,F3_combined,rate>20;OTI>52,reset,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F3_combined,rate>20;OTI>52,reset,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F3_combined,rate>20;OTI>52,reset,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P1_preserve,F3_combined,rate>20;OTI>52,reset,9,2019-08-22 13:48:00,True,True,2019-08-22 13:48:00,0.0
P1_preserve,F3_combined,rate>20;OTI>52,reset,10,2019-09-03 14:42:00,True,True,2019-09-03 14:30:00,12.0
P1_preserve,F3_combined,rate>20;OTI>54,reset,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P1_preserve,F3_combined,rate>20;OTI>54,reset,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P1_preserve,F3_combined,rate>20;OTI>54,reset,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F3_combined,rate>20;OTI>54,reset,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F3_combined,rate>20;OTI>54,reset,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P1_preserve,F3_combined,rate>20;OTI>54,reset,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F3_combined,rate>20;OTI>54,reset,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F3_combined,rate>20;OTI>54,reset,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P1_preserve,F3_combined,rate>20;OTI>54,reset,9,2019-08-22 13:48:00,True,True,2019-08-22 13:48:00,0.0
P1_preserve,F3_combined,rate>20;OTI>54,reset,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P1_preserve,F3_combined,rate>20;OTI>60,reset,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P1_preserve,F3_combined,rate>20;OTI>60,reset,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P1_preserve,F3_combined,rate>20;OTI>60,reset,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F3_combined,rate>20;OTI>60,reset,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F3_combined,rate>20;OTI>60,reset,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P1_preserve,F3_combined,rate>20;OTI>60,reset,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F3_combined,rate>20;OTI>60,reset,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F3_combined,rate>20;OTI>60,reset,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P1_preserve,F3_combined,rate>20;OTI>60,reset,9,2019-08-22 13:48:00,True,True,2019-08-22 13:48:00,0.0
P1_preserve,F3_combined,rate>20;OTI>60,reset,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P1_preserve,F3_combined,rate>20;OTI>70,reset,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P1_preserve,F3_combined,rate>20;OTI>70,reset,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P1_preserve,F3_combined,rate>20;OTI>70,reset,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F3_combined,rate>20;OTI>70,reset,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F3_combined,rate>20;OTI>70,reset,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P1_preserve,F3_combined,rate>20;OTI>70,reset,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F3_combined,rate>20;OTI>70,reset,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F3_combined,rate>20;OTI>70,reset,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P1_preserve,F3_combined,rate>20;OTI>70,reset,9,2019-08-22 13:48:00,True,True,2019-08-22 13:48:00,0.0
P1_preserve,F3_combined,rate>20;OTI>70,reset,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P1_preserve,F3_combined,rate>20;OTI>80,reset,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P1_preserve,F3_combined,rate>20;OTI>80,reset,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P1_preserve,F3_combined,rate>20;OTI>80,reset,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F3_combined,rate>20;OTI>80,reset,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F3_combined,rate>20;OTI>80,reset,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P1_preserve,F3_combined,rate>20;OTI>80,reset,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F3_combined,rate>20;OTI>80,reset,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F3_combined,rate>20;OTI>80,reset,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P1_preserve,F3_combined,rate>20;OTI>80,reset,9,2019-08-22 13:48:00,True,True,2019-08-22 13:48:00,0.0
P1_preserve,F3_combined,rate>20;OTI>80,reset,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P1_preserve,F3_combined,rate>20;OTI>90,reset,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P1_preserve,F3_combined,rate>20;OTI>90,reset,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P1_preserve,F3_combined,rate>20;OTI>90,reset,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F3_combined,rate>20;OTI>90,reset,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F3_combined,rate>20;OTI>90,reset,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P1_preserve,F3_combined,rate>20;OTI>90,reset,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F3_combined,rate>20;OTI>90,reset,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F3_combined,rate>20;OTI>90,reset,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P1_preserve,F3_combined,rate>20;OTI>90,reset,9,2019-08-22 13:48:00,True,True,2019-08-22 13:48:00,0.0
P1_preserve,F3_combined,rate>20;OTI>90,reset,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P1_preserve,F3_combined,rate>20;OTI>100,reset,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P1_preserve,F3_combined,rate>20;OTI>100,reset,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P1_preserve,F3_combined,rate>20;OTI>100,reset,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F3_combined,rate>20;OTI>100,reset,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F3_combined,rate>20;OTI>100,reset,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P1_preserve,F3_combined,rate>20;OTI>100,reset,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F3_combined,rate>20;OTI>100,reset,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F3_combined,rate>20;OTI>100,reset,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P1_preserve,F3_combined,rate>20;OTI>100,reset,9,2019-08-22 13:48:00,True,True,2019-08-22 13:48:00,0.0
P1_preserve,F3_combined,rate>20;OTI>100,reset,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P1_preserve,F3_combined,rate>20;OTI>150,reset,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P1_preserve,F3_combined,rate>20;OTI>150,reset,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P1_preserve,F3_combined,rate>20;OTI>150,reset,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F3_combined,rate>20;OTI>150,reset,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F3_combined,rate>20;OTI>150,reset,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P1_preserve,F3_combined,rate>20;OTI>150,reset,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F3_combined,rate>20;OTI>150,reset,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F3_combined,rate>20;OTI>150,reset,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P1_preserve,F3_combined,rate>20;OTI>150,reset,9,2019-08-22 13:48:00,True,True,2019-08-22 13:48:00,0.0
P1_preserve,F3_combined,rate>20;OTI>150,reset,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P1_preserve,F3_combined,rate>20;OTI>200,reset,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P1_preserve,F3_combined,rate>20;OTI>200,reset,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P1_preserve,F3_combined,rate>20;OTI>200,reset,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F3_combined,rate>20;OTI>200,reset,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F3_combined,rate>20;OTI>200,reset,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P1_preserve,F3_combined,rate>20;OTI>200,reset,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F3_combined,rate>20;OTI>200,reset,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F3_combined,rate>20;OTI>200,reset,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P1_preserve,F3_combined,rate>20;OTI>200,reset,9,2019-08-22 13:48:00,True,True,2019-08-22 13:48:00,0.0
P1_preserve,F3_combined,rate>20;OTI>200,reset,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P1_preserve,F3_combined,rate>20;OTI>236,reset,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P1_preserve,F3_combined,rate>20;OTI>236,reset,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P1_preserve,F3_combined,rate>20;OTI>236,reset,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F3_combined,rate>20;OTI>236,reset,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F3_combined,rate>20;OTI>236,reset,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P1_preserve,F3_combined,rate>20;OTI>236,reset,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F3_combined,rate>20;OTI>236,reset,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F3_combined,rate>20;OTI>236,reset,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P1_preserve,F3_combined,rate>20;OTI>236,reset,9,2019-08-22 13:48:00,True,True,2019-08-22 13:48:00,0.0
P1_preserve,F3_combined,rate>20;OTI>236,reset,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P1_preserve,F1_rate,rate>0.5,continue,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P1_preserve,F1_rate,rate>0.5,continue,2,2019-08-09 14:20:00,True,True,2019-08-09 14:17:00,3.0
P1_preserve,F1_rate,rate>0.5,continue,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F1_rate,rate>0.5,continue,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F1_rate,rate>0.5,continue,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P1_preserve,F1_rate,rate>0.5,continue,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F1_rate,rate>0.5,continue,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F1_rate,rate>0.5,continue,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P1_preserve,F1_rate,rate>0.5,continue,9,2019-08-22 13:48:00,True,True,2019-08-22 13:48:00,0.0
P1_preserve,F1_rate,rate>0.5,continue,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P1_preserve,F1_rate,rate>1,continue,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P1_preserve,F1_rate,rate>1,continue,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P1_preserve,F1_rate,rate>1,continue,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F1_rate,rate>1,continue,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F1_rate,rate>1,continue,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P1_preserve,F1_rate,rate>1,continue,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F1_rate,rate>1,continue,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F1_rate,rate>1,continue,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P1_preserve,F1_rate,rate>1,continue,9,2019-08-22 13:48:00,True,True,2019-08-22 13:48:00,0.0
P1_preserve,F1_rate,rate>1,continue,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P1_preserve,F1_rate,rate>2,continue,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P1_preserve,F1_rate,rate>2,continue,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P1_preserve,F1_rate,rate>2,continue,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F1_rate,rate>2,continue,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F1_rate,rate>2,continue,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P1_preserve,F1_rate,rate>2,continue,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F1_rate,rate>2,continue,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F1_rate,rate>2,continue,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P1_preserve,F1_rate,rate>2,continue,9,2019-08-22 13:48:00,True,True,2019-08-22 13:48:00,0.0
P1_preserve,F1_rate,rate>2,continue,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P1_preserve,F1_rate,rate>3,continue,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P1_preserve,F1_rate,rate>3,continue,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P1_preserve,F1_rate,rate>3,continue,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F1_rate,rate>3,continue,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F1_rate,rate>3,continue,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P1_preserve,F1_rate,rate>3,continue,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F1_rate,rate>3,continue,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F1_rate,rate>3,continue,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P1_preserve,F1_rate,rate>3,continue,9,2019-08-22 13:48:00,True,True,2019-08-22 13:48:00,0.0
P1_preserve,F1_rate,rate>3,continue,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P1_preserve,F1_rate,rate>5,continue,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P1_preserve,F1_rate,rate>5,continue,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P1_preserve,F1_rate,rate>5,continue,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F1_rate,rate>5,continue,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F1_rate,rate>5,continue,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P1_preserve,F1_rate,rate>5,continue,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F1_rate,rate>5,continue,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F1_rate,rate>5,continue,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P1_preserve,F1_rate,rate>5,continue,9,2019-08-22 13:48:00,True,True,2019-08-22 13:48:00,0.0
P1_preserve,F1_rate,rate>5,continue,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P1_preserve,F1_rate,rate>10,continue,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P1_preserve,F1_rate,rate>10,continue,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P1_preserve,F1_rate,rate>10,continue,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F1_rate,rate>10,continue,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F1_rate,rate>10,continue,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P1_preserve,F1_rate,rate>10,continue,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F1_rate,rate>10,continue,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F1_rate,rate>10,continue,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P1_preserve,F1_rate,rate>10,continue,9,2019-08-22 13:48:00,True,True,2019-08-22 13:48:00,0.0
P1_preserve,F1_rate,rate>10,continue,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P1_preserve,F1_rate,rate>15,continue,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P1_preserve,F1_rate,rate>15,continue,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P1_preserve,F1_rate,rate>15,continue,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F1_rate,rate>15,continue,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F1_rate,rate>15,continue,5,2019-08-17 10:29:00,False,False,,
P1_preserve,F1_rate,rate>15,continue,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F1_rate,rate>15,continue,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F1_rate,rate>15,continue,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P1_preserve,F1_rate,rate>15,continue,9,2019-08-22 13:48:00,False,False,,
P1_preserve,F1_rate,rate>15,continue,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P1_preserve,F1_rate,rate>20,continue,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P1_preserve,F1_rate,rate>20,continue,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P1_preserve,F1_rate,rate>20,continue,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F1_rate,rate>20,continue,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F1_rate,rate>20,continue,5,2019-08-17 10:29:00,False,False,,
P1_preserve,F1_rate,rate>20,continue,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F1_rate,rate>20,continue,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F1_rate,rate>20,continue,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P1_preserve,F1_rate,rate>20,continue,9,2019-08-22 13:48:00,False,False,,
P1_preserve,F1_rate,rate>20,continue,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P1_preserve,F2_range,OTI>45,continue,1,2019-07-16 13:38:00,True,True,2019-07-16 13:15:00,23.0
P1_preserve,F2_range,OTI>45,continue,2,2019-08-09 14:20:00,True,True,2019-08-09 13:45:00,35.0
P1_preserve,F2_range,OTI>45,continue,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F2_range,OTI>45,continue,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F2_range,OTI>45,continue,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P1_preserve,F2_range,OTI>45,continue,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F2_range,OTI>45,continue,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F2_range,OTI>45,continue,8,2019-08-19 15:21:00,True,True,2019-08-19 15:15:00,6.0
P1_preserve,F2_range,OTI>45,continue,9,2019-08-22 13:48:00,True,True,2019-08-22 13:00:00,48.0
P1_preserve,F2_range,OTI>45,continue,10,2019-09-03 14:42:00,True,True,2019-09-03 14:00:00,42.0
P1_preserve,F2_range,OTI>48,continue,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P1_preserve,F2_range,OTI>48,continue,2,2019-08-09 14:20:00,True,True,2019-08-09 14:00:00,20.0
P1_preserve,F2_range,OTI>48,continue,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F2_range,OTI>48,continue,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F2_range,OTI>48,continue,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P1_preserve,F2_range,OTI>48,continue,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F2_range,OTI>48,continue,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F2_range,OTI>48,continue,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P1_preserve,F2_range,OTI>48,continue,9,2019-08-22 13:48:00,True,True,2019-08-22 13:00:00,48.0
P1_preserve,F2_range,OTI>48,continue,10,2019-09-03 14:42:00,True,True,2019-09-03 14:15:00,27.0
P1_preserve,F2_range,OTI>50,continue,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P1_preserve,F2_range,OTI>50,continue,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P1_preserve,F2_range,OTI>50,continue,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F2_range,OTI>50,continue,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F2_range,OTI>50,continue,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P1_preserve,F2_range,OTI>50,continue,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F2_range,OTI>50,continue,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F2_range,OTI>50,continue,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P1_preserve,F2_range,OTI>50,continue,9,2019-08-22 13:48:00,True,True,2019-08-22 13:11:00,37.0
P1_preserve,F2_range,OTI>50,continue,10,2019-09-03 14:42:00,True,True,2019-09-03 14:15:00,27.0
P1_preserve,F2_range,OTI>52,continue,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P1_preserve,F2_range,OTI>52,continue,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P1_preserve,F2_range,OTI>52,continue,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
